STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-04,2.37,"5,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-05,3.69,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-06,3.43,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-07,4.06,"2,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-08,3.09,"3,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-09,0.87,"4,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-10,4.72,"3,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-11,0.41,"4,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2007-12,4.4,"4,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-01,0.89,"3,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-02,2.96,"2,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-03,4.68,"2,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-04,5.98,"5,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-05,5.59,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-07,2.44,"5,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-09,9.93,"5,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-11,3.13,"2,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2008-12,5.79,"3,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2012-07,1.02,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2012-08,3.06,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2012-09,5.51,",,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2012-10,4.33,"1,,,N"
US1VANY0002,"CREWE 0.3 NW, VA US",37.1833,-78.1353,157.9,2012-11,0.44,",,,N"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-01,4.18,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-02,2.67,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-03,2.76,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-04,2.31,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-05,4.89,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-06,1.4,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-07,4.24,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-08,19.22,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-09,3.89,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-10,3.59,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-11,3.47,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1992-12,3.89,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1993-01,5.08,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1993-02,2.14,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1993-03,6.47,",,,0"
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,1993-04,5.12,",,,0"
